relative_path,extension,size_bytes,size_kb,last_modified,category,recommended_for
autonomous_operations_optimization_preview.py,.py,4290,4.19,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_orchestrator_preview.py,.py,4599,4.49,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_planning_preview.py,.py,4236,4.14,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_scheduling_preview.py,.py,4276,4.18,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_supervisor_preview.py,.py,4376,4.27,2026-06-11T23:11:34,layer41,layer_validation
autonomous_repair_intelligence_preview.py,.py,30590,29.87,2026-06-11T21:52:23,unknown,avoid_unless_needed
autonomous_task_network_intelligence_preview.py,.py,4006,3.91,2026-06-11T22:12:50,unknown,avoid_unless_needed
autonomous_workflow_intelligence_preview.py,.py,4094,4.0,2026-06-11T22:12:50,layer38,layer_validation
autonomy_dial_preview.py,.py,14592,14.25,2026-06-08T04:06:27,unknown,avoid_unless_needed
background_support_registry.py,.py,19812,19.35,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/local_state_safety_fix_20260604_0229/index.html,.html,196773,192.16,2026-06-08T04:06:27,ui_static,ui_task
backups/stage13_step1_20260603_004357/context_builder.py,.py,73980,72.25,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step1_20260603_004357/pipeline.py,.py,93203,91.02,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step1_20260603_004357/telemetry.py,.py,56912,55.58,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step2_20260603_013339/lux_language_sense.py,.py,7705,7.52,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step2_20260603_013339/pipeline.py,.py,95354,93.12,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step2_20260603_013339/telemetry.py,.py,59198,57.81,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_20260603_020616/context_builder.py,.py,74932,73.18,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_20260603_020616/lux_language_sense.py,.py,19720,19.26,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_20260603_020616/pipeline.py,.py,95989,93.74,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_20260603_020616/telemetry.py,.py,64346,62.84,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_codex_20260603/context_builder.py,.py,77462,75.65,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_codex_20260603/lux_language_sense.py,.py,27513,26.87,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_codex_20260603/pipeline.py,.py,96344,94.09,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_codex_20260603/telemetry.py,.py,70562,68.91,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_confirmed_root_20260603_1300/context_builder.py,.py,77462,75.65,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_confirmed_root_20260603_1300/lux_language_sense.py,.py,27513,26.87,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_confirmed_root_20260603_1300/pipeline.py,.py,96344,94.09,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step3_confirmed_root_20260603_1300/telemetry.py,.py,70562,68.91,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step4_telemetry_regression_20260603_1308/app.py,.py,203140,198.38,2026-06-08T04:06:27,app_core,router_consolidation
backups/stage13_step4_telemetry_regression_20260603_1308/context_builder.py,.py,77462,75.65,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step4_telemetry_regression_20260603_1308/lux_language_sense.py,.py,27513,26.87,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step4_telemetry_regression_20260603_1308/pipeline.py,.py,96344,94.09,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step4_telemetry_regression_20260603_1308/telemetry.py,.py,70562,68.91,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step5_final_hardening_20260603_1316/app.py,.py,203140,198.38,2026-06-08T04:06:27,app_core,router_consolidation
backups/stage13_step5_final_hardening_20260603_1316/context_builder.py,.py,77462,75.65,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step5_final_hardening_20260603_1316/lux_language_sense.py,.py,27513,26.87,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step5_final_hardening_20260603_1316/pipeline.py,.py,96344,94.09,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stage13_step5_final_hardening_20260603_1316/telemetry.py,.py,70562,68.91,2026-06-08T04:06:27,unknown,avoid_unless_needed
backups/stream_pause_fix_20260604_0218/app.py,.py,203140,198.38,2026-06-08T04:06:27,app_core,router_consolidation
backups/stream_pause_fix_20260604_0218/index.html,.html,196402,191.8,2026-06-08T04:06:27,ui_static,ui_task
bug_intake_planner.py,.py,6900,6.74,2026-06-08T18:02:50,unknown,avoid_unless_needed
change_memory_intelligence_preview.py,.py,29231,28.55,2026-06-11T04:08:21,unknown,avoid_unless_needed
change_planning_intelligence_preview.py,.py,36249,35.4,2026-06-11T04:19:54,unknown,avoid_unless_needed
change_preview_engine_preview.py,.py,11777,11.5,2026-06-09T18:40:22,unknown,avoid_unless_needed
clone_workspace_intelligence_preview.py,.py,27792,27.14,2026-06-11T21:50:11,unknown,avoid_unless_needed
codex_handoff_builder_preview.py,.py,9470,9.25,2026-06-08T17:43:42,unknown,avoid_unless_needed
context_bridge_preview.py,.py,12696,12.4,2026-06-08T04:06:27,unknown,avoid_unless_needed
cost_privacy_policy.py,.py,4848,4.73,2026-06-08T04:06:28,unknown,avoid_unless_needed
credit_saver_engine.py,.py,14280,13.95,2026-06-08T18:26:48,unknown,avoid_unless_needed
data/global/elite_candidates.jsonl,.jsonl,0,0.0,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/fine_tune_candidates.jsonl,.jsonl,0,0.0,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/global_behavior_policy.json,.json,1641,1.6,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/global_human_patterns.json,.json,45,0.04,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/global_lessons.json,.json,42,0.04,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/global_quality_scores.json,.json,86,0.08,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/learning_dashboard.json,.json,46,0.04,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/pending_candidates.jsonl,.jsonl,0,0.0,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/rejected_candidates.jsonl,.jsonl,0,0.0,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/storage_rotation_report.json,.json,472,0.46,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/global/telemetry.json,.json,1275,1.25,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/runtime/cost_logs.jsonl,.jsonl,5820,5.68,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/default_user/behavior_policy.json,.json,1623,1.58,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/default_user/human_risk_summary.json,.json,332,0.32,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/default_user/hybrid_questions.json,.json,57,0.06,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/default_user/performance.json,.json,303,0.3,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/default_user/personal_dashboard.json,.json,46,0.04,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/default_user/personal_language_dna.json,.json,50,0.05,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/default_user/personal_lessons.json,.json,57,0.06,2026-06-08T04:07:12,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/active_session.json,.json,151,0.15,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/behavior_policy.json,.json,1623,1.58,2026-06-08T16:54:40,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/human_risk_summary.json,.json,332,0.32,2026-06-08T16:54:40,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/hybrid_questions.json,.json,57,0.06,2026-06-08T16:54:40,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/memory_garden.json,.json,2,0.0,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/notes.json,.json,2,0.0,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/performance.json,.json,693,0.68,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/personal_dashboard.json,.json,46,0.04,2026-06-08T16:54:40,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/personal_language_dna.json,.json,50,0.05,2026-06-08T16:54:40,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/personal_lessons.json,.json,57,0.06,2026-06-08T16:54:40,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/profile.json,.json,10220,9.98,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/sessions/20260608_135440_da423938.json,.json,24188,23.62,2026-06-08T16:55:07,unknown,avoid_unless_needed
data/users/user_tu8y7wonsgm/sessions_index.json,.json,127,0.12,2026-06-08T16:54:40,unknown,avoid_unless_needed
debug_intelligence_core.py,.py,13871,13.55,2026-06-08T20:08:17,unknown,avoid_unless_needed
delivery_readiness_intelligence_preview.py,.py,20438,19.96,2026-06-11T21:47:14,unknown,avoid_unless_needed
dependency_intelligence_preview.py,.py,23638,23.08,2026-06-11T02:15:42,unknown,avoid_unless_needed
dependency_mapper_preview.py,.py,8421,8.22,2026-06-09T03:36:13,unknown,avoid_unless_needed
deployment_agent_preview.py,.py,8209,8.02,2026-06-11T21:27:40,layer37,layer_validation
deployment_bridge_intelligence_preview.py,.py,17116,16.71,2026-06-11T05:27:57,unknown,avoid_unless_needed
deployment_verification_intelligence_preview.py,.py,18588,18.15,2026-06-11T21:47:39,unknown,avoid_unless_needed
dev_agent_explorer_preview.py,.py,10873,10.62,2026-06-09T03:28:11,layer37,layer_validation
dev_agent_readiness_snapshot.py,.py,6387,6.24,2026-06-09T16:20:30,unknown,avoid_unless_needed
device_action_intelligence_preview.py,.py,15159,14.8,2026-06-11T05:31:13,unknown,avoid_unless_needed
device_bridge_preview.py,.py,19178,18.73,2026-06-08T04:06:28,unknown,avoid_unless_needed
diff_preview_engine_preview.py,.py,12709,12.41,2026-06-10T00:24:34,unknown,avoid_unless_needed
drive_mode_preview.py,.py,14452,14.11,2026-06-08T04:06:28,unknown,avoid_unless_needed
emotional_reflection_support.py,.py,15259,14.9,2026-06-08T04:06:28,unknown,avoid_unless_needed
endpoint_coverage_matrix.py,.py,71554,69.88,2026-06-11T23:13:51,endpoint_coverage,endpoint_alignment
engineering_autonomy_intelligence_preview.py,.py,19000,18.55,2026-06-11T09:33:16,unknown,avoid_unless_needed
engineering_brain_dynamic_priority_queue_preview.py,.py,17680,17.27,2026-06-11T10:12:54,unknown,avoid_unless_needed
engineering_brain_multi_session_continuity_preview.py,.py,18275,17.85,2026-06-11T10:04:24,unknown,avoid_unless_needed
engineering_brain_persistent_execution_intelligence_preview.py,.py,20529,20.05,2026-06-11T21:56:09,unknown,avoid_unless_needed
engineering_brain_task_consciousness_preview.py,.py,17987,17.57,2026-06-11T09:54:36,unknown,avoid_unless_needed
engineering_brain_user_intent_continuity_preview.py,.py,18459,18.03,2026-06-11T10:08:09,unknown,avoid_unless_needed
engineering_brain_workspace_consciousness_preview.py,.py,17921,17.5,2026-06-11T09:50:13,unknown,avoid_unless_needed
engineering_decision_intelligence_preview.py,.py,18353,17.92,2026-06-11T21:47:39,unknown,avoid_unless_needed
engineering_knowledge_graph_intelligence_preview.py,.py,21041,20.55,2026-06-11T21:47:40,unknown,avoid_unless_needed
engineering_memory_failure_intelligence_preview.py,.py,20007,19.54,2026-06-11T21:48:25,unknown,avoid_unless_needed
engineering_observability_monitoring_preview.py,.py,20725,20.24,2026-06-11T21:48:25,unknown,avoid_unless_needed
engineering_prediction_forecast_intelligence_preview.py,.py,18353,17.92,2026-06-11T21:48:25,unknown,avoid_unless_needed
engineering_self_reflection_meta_intelligence_preview.py,.py,18723,18.28,2026-06-11T09:39:11,unknown,avoid_unless_needed
engineering_strategy_intelligence_preview.py,.py,18309,17.88,2026-06-11T21:48:25,unknown,avoid_unless_needed
ethical_boundary_soul_preview.py,.py,13489,13.17,2026-06-08T04:06:28,unknown,avoid_unless_needed
evidence_store_preview.py,.py,9744,9.52,2026-06-09T17:36:27,unknown,avoid_unless_needed
explorer_agent_preview.py,.py,8097,7.91,2026-06-09T16:45:32,layer37,layer_validation
failed_change_intelligence_preview.py,.py,32403,31.64,2026-06-11T04:14:13,unknown,avoid_unless_needed
failure_memory_intelligence_preview.py,.py,22831,22.3,2026-06-11T02:11:45,unknown,avoid_unless_needed
finality_sense_preview.py,.py,12025,11.74,2026-06-08T04:06:28,unknown,avoid_unless_needed
github_bridge_consolidation_preview.py,.py,9203,8.99,2026-06-11T21:28:29,unknown,avoid_unless_needed
github_bridge_intelligence_preview.py,.py,17545,17.13,2026-06-11T05:20:36,unknown,avoid_unless_needed
github_project_intelligence_preview.py,.py,9696,9.47,2026-06-11T21:26:17,unknown,avoid_unless_needed
impact_analyzer_preview.py,.py,7711,7.53,2026-06-09T03:48:25,unknown,avoid_unless_needed
index.html,.html,117532,114.78,2026-06-08T04:06:28,ui_static,ui_task
intention_timeline_preview.py,.py,11035,10.78,2026-06-08T04:06:28,unknown,avoid_unless_needed
investigation_context_preview.py,.py,13570,13.25,2026-06-09T01:40:11,unknown,avoid_unless_needed
investigation_priority_engine_preview.py,.py,10887,10.63,2026-06-09T03:00:25,unknown,avoid_unless_needed
investigation_starter_preview.py,.py,10877,10.62,2026-06-09T02:53:46,unknown,avoid_unless_needed
investigation_task_planner_preview.py,.py,9856,9.62,2026-06-09T03:14:39,unknown,avoid_unless_needed
investigation_timeline_preview.py,.py,10757,10.5,2026-06-09T02:25:36,unknown,avoid_unless_needed
klasor_haritasi.txt,.txt,980584,957.6,2026-06-12T17:41:17,unknown,avoid_unless_needed
knowledge_extractor_preview.py,.py,8884,8.68,2026-06-09T02:37:58,unknown,avoid_unless_needed
layer21_status.py,.py,4677,4.57,2026-06-08T04:06:28,unknown,avoid_unless_needed
layer22_candidate_scoring.py,.py,26939,26.31,2026-06-08T04:06:28,unknown,avoid_unless_needed
layer22_future_candidates.py,.py,20212,19.74,2026-06-08T04:06:28,unknown,avoid_unless_needed
layer22_status_snapshot.py,.py,5952,5.81,2026-06-08T04:06:28,unknown,avoid_unless_needed
layer23_status_snapshot.py,.py,2666,2.6,2026-06-08T20:10:24,unknown,avoid_unless_needed
layer27_status_snapshot.py,.py,5770,5.63,2026-06-10T01:38:05,unknown,avoid_unless_needed
layer28_status_snapshot.py,.py,6035,5.89,2026-06-10T16:34:27,unknown,avoid_unless_needed
layer29_status_snapshot.py,.py,6938,6.78,2026-06-10T18:43:38,unknown,avoid_unless_needed
layer30_status_snapshot.py,.py,6344,6.2,2026-06-10T21:12:25,unknown,avoid_unless_needed
layer31_status_snapshot.py,.py,9249,9.03,2026-06-11T01:43:20,unknown,avoid_unless_needed
layer32_status_snapshot.py,.py,9428,9.21,2026-06-11T04:00:12,unknown,avoid_unless_needed
Layer34_41_Audit_Result.txt,.txt,735,0.72,2026-06-11T21:11:49,layer41,layer_validation
learning/__init__.py,.py,252,0.25,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/background_lab.py,.py,351,0.34,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/behavior_policy.py,.py,22624,22.09,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder.py,.py,77462,75.65,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_12_7_step1.py,.py,73866,72.13,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_12_7_step3.py,.py,73980,72.25,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group3_step1.py,.py,37608,36.73,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group3_step2.py,.py,37677,36.79,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group3_step3_step4.py,.py,41926,40.94,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group4_step1.py,.py,43019,42.01,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group4_step2.py,.py,46062,44.98,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group4_step3.py,.py,50593,49.41,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group4_step4.py,.py,58575,57.2,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/context_builder_backup_before_group4_step5.py,.py,67031,65.46,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/conversation_analyzer.py,.py,23642,23.09,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/cost_logger.py,.py,8356,8.16,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/cultural_epistemic_layer.py,.py,12695,12.4,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/cultural_epistemic_layer_backup_before_group4_step4.py,.py,2145,2.09,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/dashboard_engine.py,.py,49327,48.17,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/dashboard_engine_backup_before_group3_step5.py,.py,43800,42.77,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/dream_layer.py,.py,5678,5.54,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/dream_layer_backup_before_group3_step2.py,.py,810,0.79,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/efficiency_router.py,.py,13437,13.12,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/emotional_graph_layer.py,.py,10412,10.17,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/emotional_graph_layer_backup_before_group4_step5.py,.py,2140,2.09,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/existential_layer.py,.py,6795,6.64,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/existential_layer_backup_before_group3_step2.py,.py,864,0.84,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/fine_tune_builder.py,.py,5608,5.48,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/global_learning.py,.py,5729,5.59,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group1_layers.py,.py,8535,8.33,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group2_layers.py,.py,9960,9.73,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group3_regression.py,.py,4236,4.14,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group3_signals.py,.py,9686,9.46,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group3_signals_backup_before_group3_step2.py,.py,6241,6.09,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group4_signals.py,.py,8910,8.7,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group4_signals_backup_before_group4_step3.py,.py,6589,6.43,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group4_signals_backup_before_group4_step4.py,.py,7104,6.94,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/group4_signals_backup_before_group4_step5.py,.py,8066,7.88,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/human_risk_healing.py,.py,15867,15.5,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/hybrid_optimizer.py,.py,24950,24.37,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/io_utils.py,.py,1062,1.04,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/lens_guard.py,.py,7715,7.53,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/lux_language_sense.py,.py,28146,27.49,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/memory_layer.py,.py,18471,18.04,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/memory_layer_backup_before_group3_step2.py,.py,1352,1.32,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/memory_layer_backup_before_group3_step3_step4.py,.py,9962,9.73,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/memory_separator.py,.py,621,0.61,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/micro_human_signal_bridge.py,.py,31181,30.45,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/micro_human_signal_bridge_backup_before_12_7_final_close.py,.py,31181,30.45,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/micro_human_signal_bridge_backup_before_12_7_step2.py,.py,8099,7.91,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/micro_human_signal_bridge_backup_before_12_7_step3.py,.py,24151,23.58,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/micro_signal_engine.py,.py,2892,2.82,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/performance_tracker.py,.py,14190,13.86,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/personal_language_dna.py,.py,14565,14.22,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/personal_learning.py,.py,7523,7.35,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline.py,.py,100120,97.77,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_12_7_final_close.py,.py,87923,85.86,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_12_7_step1.py,.py,80831,78.94,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_12_7_step2.py,.py,81501,79.59,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_12_7_step3.py,.py,82569,80.63,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group3_step1.py,.py,43234,42.22,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group3_step2.py,.py,47642,46.53,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group3_step3_step4.py,.py,48926,47.78,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group3_step5.py,.py,51676,50.46,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group4_step1.py,.py,54584,53.3,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group4_step1_5.py,.py,60926,59.5,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group4_step2.py,.py,68222,66.62,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group4_step3.py,.py,70183,68.54,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group4_step4.py,.py,73096,71.38,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/pipeline_backup_before_group4_step5.py,.py,76601,74.81,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/practical_support_layers.py,.py,16060,15.68,2026-06-08T04:06:28,unknown,avoid_unless_needed
learning/quality_evaluator.py,.py,9485,9.26,2026-06-08T04:06:28,unknown,avoid_unless_needed
